keyutils 1.6.3-3
kfilemetadata 6.23.0-1
kglobalaccel 6.23.0-1
kglobalacceld 6.6.2-1
kguiaddons 6.23.1-1
kholidays 1:6.23.0-1
ki18n 6.23.0-1
kiconthemes 6.23.0-1
kidletime 6.23.0-1
kimageformats 6.23.0-1
kinfocenter 6.6.2-1
kio 6.23.0-1
kio-extras 25.12.2-1
kio-fuse 5.1.1-1
kirigami 6.23.1-1
kirigami-addons 1.12.0-1
kitemmodels 6.23.0-1
kitemviews 6.23.0-1
kjobwidgets 6.23.0-1
kmenuedit 6.6.2-1
kmod 34.2-1
knewstuff 6.23.0-1
knighttime 6.6.2-1
knotifications 6.23.0-1
knotifyconfig 6.23.0-1
konsole 25.12.2-1
kpackage 6.23.0-1
kparts 6.23.0-1
kpipewire 6.6.2-1
kpty 6.23.0-1
kquickcharts 6.23.0-1
kquickimageeditor 0.6.0-2
krb5 1.21.3-2
krdp 6.6.2-1
krunner 6.23.0-1
kscreen 6.6.2-1
kscreenlocker 6.6.2-1
kservice 6.23.1-1
ksshaskpass 6.6.2-1
kstatusnotifieritem 6.23.0-1
ksvg 6.23.0-1
ksystemstats 6.6.2-1
ktexteditor 6.23.0-1
ktextwidgets 6.23.0-1
kunitconversion 6.23.0-1
kuserfeedback 6.23.0-1
kwallet 6.23.0-1
kwallet-pam 6.6.2-1
kwayland 6.6.2-1
kwidgetsaddons 6.23.0-1
kwin 6.6.2-1
kwindowsystem 6.23.0-1
kwrited 6.6.2-1
kxmlgui 6.23.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.2-1
lcms2 2.18-1
ldb 2:4.23.6-1
leancrypto 1.6.0-1
less 1:692-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.18.0-4
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.4-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
lib32-glib2 2.86.4-1
lib32-glibc 2.43+r5+g856c426a7534-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.12-1
lib32-icu 78.2-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libdrm 2.4.131-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.1-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.59-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.12-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.21.0-1
lib32-libnm 1.54.3-1
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.10-1
lib32-libpng 1.6.55-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.3-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.1-4
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.0.1-1
lib32-ncurses 6.6-1
lib32-nettle 3.10.2-1
lib32-nspr 4.38.2-1
lib32-nss 3.121-1
lib32-nvidia-utils 590.48.01-1
lib32-openssl 1:3.6.1-1
lib32-p11-kit 0.26.2-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.4.10-1
lib32-spirv-tools 1:1.4.341.0-1
lib32-sqlite 3.51.2-1
lib32-systemd 259.3-1
lib32-util-linux 2.41.3-1
lib32-vulkan-icd-loader 1.4.341.0-1
lib32-wayland 1.24.0-1
lib32-xz 5.8.2-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libadwaita 1:1.8.4-1
libappindicator 12.10.1-1
libarchive 3.8.5-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic 15.2.1+r604+g0b99615a8aef-1
libavc1394 0.5.4-7
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.4.0-2
libblockdev-crypto 3.4.0-2
libblockdev-fs 3.4.0-2
libblockdev-loop 3.4.0-2
libblockdev-mdraid 3.4.0-2
libblockdev-nvme 3.4.0-2
libblockdev-part 3.4.0-2
libblockdev-smart 3.4.0-2
libblockdev-swap 3.4.0-2
libbluray 1.4.0-2
libbpf 1.6.2-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.9-1
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.16-2
libcurl-gnutls 8.18.0-3
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.3.2-1
libdrm 2.4.131-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.5.0-1
libelf 0.194-1
libepoxy 1.5.10-3
libevdev 1.13.6-1
libevent 2.1.12-5
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.5-1
libgcc 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.1-1
libgee 0.20.8-1
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgnomekbd 1:3.28.1-2
libgomp 15.2.1+r604+g0b99615a8aef-1
libgpg-error 1.59-1
libgudev 238-3
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimobiledevice 1.4.0-2
